FUNCTION                                    CALLS      %   TIME  [uS / CALLS]
--------                                    -----    ---   ----  [----------]
global:handle_call/3                            9   0.00     13  [      1.44]
shell:eval_loop/3                               2   0.00     13  [      6.50]
io:wait_io_mon_reply/2                          8   0.01     15  [      1.88]
tuple_space:mapper/1                           20   0.01     15  [      0.75]
erl_lint:'-bool_option/4-fun-0-'/4             52   0.01     15  [      0.29]
ets:delete_object/2                             8   0.01     15  [      1.88]
erlang:atom_to_list/1                          12   0.01     15  [      1.25]
orddict:find/2                                 55   0.01     16  [      0.29]
user_drv:get_unicode_state/1                    2   0.01     16  [      8.00]
group:server_loop/3                             8   0.01     18  [      2.25]
group:get_unicode_state/1                       2   0.01     18  [      9.00]
group:io_reply/3                                8   0.01     18  [      2.25]
user_drv:io_requests/3                         64   0.01     18  [      0.28]
orddict:store/3                                40   0.01     19  [      0.47]
group:send_drv/2                                8   0.01     19  [      2.38]
gen_server:reply/2                              9   0.01     19  [      2.11]
gen_server:decode_msg/8                        16   0.01     19  [      1.19]
random:uniform/0                                5   0.01     19  [      3.80]
shell:used_records/1                           66   0.01     19  [      0.29]
erlang:apply/2                                  3   0.01     20  [      6.67]
erlang:spawn_link/3                             2   0.01     20  [     10.00]
shell:used_records/3                           66   0.01     21  [      0.32]
proplists:get_value/3                          56   0.01     21  [      0.38]
edlin:do_op/4                                  54   0.01     23  [      0.43]
io_lib_format:lowercase/1                      66   0.01     23  [      0.35]
lists:do_flatten/2                             86   0.01     24  [      0.28]
gen_server:dispatch/3                           7   0.01     24  [      3.43]
user_drv:server_loop/5                         12   0.01     24  [      2.00]
shell:prep_check/1                             79   0.01     25  [      0.32]
erlang:put/2                                   11   0.01     25  [      2.27]
io:io_request/2                                10   0.01     26  [      2.60]
orddict:'-from_list/1-fun-0-'/2                20   0.01     26  [      1.30]
edlin:key_map/2                                56   0.01     28  [      0.50]
lists:foldl/3                                 145   0.01     30  [      0.21]
lists:all/2                                   212   0.01     34  [      0.16]
gen_server:handle_msg/5                        16   0.01     35  [      2.19]
lists:reverse/2                                15   0.01     36  [      2.40]
erlang:integer_to_list/3                       64   0.01     38  [      0.59]
io_lib:printable_list/1                       212   0.01     40  [      0.19]
user_drv:io_request/3                          68   0.02     41  [      0.60]
timer:sleep/1                                   5   0.02     42  [      8.40]
io:printable_range/0                          212   0.02     43  [      0.20]
